                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8304,                 6.9645,                 3.0148,                 0.2462,                0.29192,                0.23227,                0.15454,                 2.1575,                 6.4222,                 2.4583,               0.070182,              0.0033131,              0.0033131
                      2,                 2.4423,                 5.5565,                 2.6688,                0.36066,                0.42007,                0.33602,                0.24763,                 2.1301,                 5.1537,                 2.5362,               0.036892,              0.0033565,              0.0033565
