                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.8161,                 4.0602,                 2.7587,                0.43656,                0.35105,                0.34765,                0.18968,                 3.2207,                 4.2517,                 3.1993,               0.007756,               0.007756,               0.007756
                     36,                 2.8159,                  4.003,                 2.7643,                0.43648,                0.34943,                0.33883,                0.18922,                 3.1274,                  4.344,                  3.119,                0.00769,                0.00769,                0.00769
                     37,                 2.7902,                 3.9774,                   2.75,                0.44609,                0.35703,                0.35412,                0.19634,                 3.1937,                 4.3408,                  3.159,               0.007624,               0.007624,               0.007624
                     38,                 2.7587,                 3.9292,                 2.7396,                0.42908,                0.37375,                0.34382,                0.19541,                 3.0844,                 4.2311,                 3.0869,               0.007558,               0.007558,               0.007558
                     39,                 2.7575,                 3.9219,                 2.7278,                0.48725,                0.34432,                0.36664,                0.20508,                  3.138,                 4.1839,                 3.1682,               0.007492,               0.007492,               0.007492
                     40,                 2.7689,                 3.8767,                 2.7182,                0.48844,                0.33913,                0.35735,                0.19801,                 3.1695,                 4.2546,                 3.1709,               0.007426,               0.007426,               0.007426
                     41,                 2.7277,                 3.8147,                  2.713,                0.46952,                0.36311,                0.34051,                0.18275,                 3.1878,                 4.2327,                  3.177,                0.00736,                0.00736,                0.00736
                     42,                 2.7087,                 3.7428,                 2.7043,                0.47063,                0.38457,                0.37184,                 0.2034,                 3.1886,                 4.1697,                 3.1401,               0.007294,               0.007294,               0.007294
                     43,                 2.7222,                 3.7692,                 2.6937,                0.45661,                0.37552,                0.36531,                0.20377,                 3.1206,                 4.1636,                 3.1334,               0.007228,               0.007228,               0.007228
                     44,                 2.7459,                 3.7312,                 2.6993,                0.42423,                 0.3686,                0.34957,                0.19404,                  3.127,                 4.1934,                 3.1451,               0.007162,               0.007162,               0.007162
                     45,                 2.7376,                 3.7677,                 2.7002,                0.47356,                0.36896,                0.36696,                0.20918,                 3.1206,                 4.2374,                 3.1212,               0.007096,               0.007096,               0.007096
                     46,                 2.6856,                 3.6644,                 2.6702,                0.48794,                 0.3743,                0.38125,                0.21937,                 3.1304,                 4.0797,                 3.1193,                0.00703,                0.00703,                0.00703
                     47,                 2.6961,                 3.6515,                 2.6786,                0.47481,                0.37733,                0.37235,                0.21288,                  3.178,                 4.1015,                 3.1443,               0.006964,               0.006964,               0.006964
                     48,                 2.7048,                 3.6707,                 2.6877,                0.50211,                0.38136,                0.39752,                0.22965,                 3.1473,                 4.0365,                 3.1595,               0.006898,               0.006898,               0.006898
                     49,                  2.686,                 3.6164,                 2.6723,                0.46922,                0.35972,                0.36362,                0.20338,                 3.1284,                 4.1284,                 3.1336,               0.006832,               0.006832,               0.006832
                     50,                 2.6511,                 3.5935,                 2.6493,                0.45781,                0.37616,                0.36472,                0.20297,                 3.1641,                 4.0556,                 3.1668,               0.006766,               0.006766,               0.006766
                     51,                 2.6455,                 3.5656,                 2.6473,                0.43849,                0.39549,                0.37903,                0.21599,                 3.0969,                 4.1127,                 3.1271,                 0.0067,                 0.0067,                 0.0067
                     52,                 2.6255,                 3.5612,                 2.6463,                0.45604,                0.38877,                0.37811,                0.21874,                 3.0755,                 4.1374,                 3.1275,               0.006634,               0.006634,               0.006634
                     53,                 2.6295,                 3.4938,                 2.6361,                0.51262,                0.36847,                0.38417,                0.22234,                 3.0907,                 4.0615,                 3.1314,               0.006568,               0.006568,               0.006568
                     54,                 2.6212,                 3.4606,                  2.624,                0.46314,                0.39188,                0.38925,                0.22101,                  3.104,                 4.0916,                 3.1296,               0.006502,               0.006502,               0.006502
                     55,                 2.6267,                  3.466,                 2.6267,                0.51744,                0.37347,                0.39229,                0.22421,                  3.103,                 4.0771,                 3.0993,               0.006436,               0.006436,               0.006436
                     56,                 2.6278,                 3.4427,                 2.6303,                0.48542,                 0.3671,                0.38252,                0.21876,                 3.1239,                 4.0758,                 3.1409,                0.00637,                0.00637,                0.00637
                     57,                 2.6063,                   3.39,                 2.6191,                0.48172,                0.38926,                0.38229,                0.22105,                  3.135,                 4.0307,                 3.1103,               0.006304,               0.006304,               0.006304
                     58,                 2.5787,                 3.3014,                 2.5938,                0.48213,                0.37309,                0.38683,                0.22554,                  3.092,                 3.9917,                 3.1213,               0.006238,               0.006238,               0.006238
                     59,                 2.6072,                  3.379,                 2.6115,                0.46158,                0.40912,                0.39418,                0.21642,                 3.1266,                 3.9821,                 3.1159,               0.006172,               0.006172,               0.006172
