                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.6155,                 2.3096,                 2.3986,                0.58528,                0.59998,                0.59357,                0.28068,                 3.7858,                 2.5135,                 2.5889,               0.007756,               0.007756,               0.007756
                     36,                 3.6218,                 2.3184,                 2.4071,                0.52831,                0.60874,                0.58388,                0.28266,                 3.7381,                 2.5234,                 2.5621,                0.00769,                0.00769,                0.00769
                     37,                 3.5868,                  2.294,                 2.3967,                0.56272,                0.61911,                0.59559,                0.28361,                 3.7586,                  2.572,                 2.5511,               0.007624,               0.007624,               0.007624
                     38,                 3.5437,                 2.2523,                 2.3608,                0.59109,                0.61356,                0.59382,                0.27656,                 3.8311,                 2.4981,                 2.6194,               0.007558,               0.007558,               0.007558
                     39,                 3.5281,                 2.2387,                 2.3676,                0.56713,                0.60938,                0.59194,                0.28246,                 3.8642,                 2.4863,                 2.5949,               0.007492,               0.007492,               0.007492
                     40,                  3.541,                 2.1901,                 2.3684,                0.57167,                 0.6109,                0.59126,                0.27913,                 3.8573,                 2.5174,                 2.6031,               0.007426,               0.007426,               0.007426
                     41,                  3.527,                 2.1734,                 2.3986,                 0.5836,                0.62313,                0.58781,                0.27904,                 3.8376,                 2.4625,                 2.6046,                0.00736,                0.00736,                0.00736
                     42,                 3.5536,                 2.1915,                 2.3533,                0.57428,                0.61099,                0.59212,                0.27662,                 3.9043,                 2.4881,                 2.6286,               0.007294,               0.007294,               0.007294
                     43,                 3.5141,                 2.1316,                 2.3858,                0.56061,                0.62251,                0.59814,                 0.2836,                 3.8046,                 2.5017,                 2.6126,               0.007228,               0.007228,               0.007228
                     44,                 3.5154,                 2.1132,                 2.3875,                0.56503,                0.62549,                0.60932,                0.28869,                 3.7962,                  2.453,                 2.5963,               0.007162,               0.007162,               0.007162
                     45,                 3.4796,                 2.1073,                 2.3568,                0.58976,                0.60269,                0.60327,                0.28613,                 3.8246,                 2.4279,                  2.599,               0.007096,               0.007096,               0.007096
                     46,                 3.4819,                 2.1092,                 2.3436,                0.53185,                0.65288,                0.59994,                0.27791,                  3.859,                 2.4315,                 2.6337,                0.00703,                0.00703,                0.00703
                     47,                 3.5227,                 2.1001,                 2.3364,                0.56584,                0.61383,                0.58558,                0.27124,                 3.8643,                 2.4642,                   2.65,               0.006964,               0.006964,               0.006964
                     48,                 3.4592,                 2.0522,                 2.3169,                0.56378,                0.61535,                0.59602,                0.27254,                  3.865,                 2.4846,                 2.6415,               0.006898,               0.006898,               0.006898
                     49,                 3.5167,                 2.0781,                 2.3795,                0.60137,                0.62738,                0.59358,                0.27303,                 3.8569,                 2.4804,                  2.641,               0.006832,               0.006832,               0.006832
                     50,                 3.4415,                 2.0128,                 2.3212,                0.59924,                0.59819,                0.59455,                0.27498,                 3.8765,                 2.4972,                 2.6618,               0.006766,               0.006766,               0.006766
                     51,                 3.4543,                   2.04,                  2.341,                0.56104,                0.62537,                0.59368,                 0.2759,                 3.7966,                 2.4396,                 2.6196,                 0.0067,                 0.0067,                 0.0067
                     52,                 3.4334,                 2.0662,                 2.3528,                0.56366,                0.62729,                0.58312,                0.27014,                 3.8961,                 2.4664,                 2.6834,               0.006634,               0.006634,               0.006634
                     53,                 3.3954,                 2.0417,                 2.3455,                0.59977,                0.62792,                0.62451,                 0.2907,                 3.8604,                 2.4057,                 2.6462,               0.006568,               0.006568,               0.006568
                     54,                 3.3692,                 1.9898,                 2.3487,                0.57705,                 0.6399,                0.61774,                0.28562,                  3.884,                 2.3751,                 2.6446,               0.006502,               0.006502,               0.006502
                     55,                 3.4792,                 1.9852,                 2.3371,                0.63985,                0.62637,                 0.6346,                0.28618,                 3.8929,                 2.3584,                 2.6407,               0.006436,               0.006436,               0.006436
                     56,                 3.3607,                 2.0021,                 2.3557,                0.62258,                0.62153,                0.61977,                0.28457,                 3.9087,                 2.3775,                 2.6814,                0.00637,                0.00637,                0.00637
                     57,                 3.3863,                 1.9767,                 2.3198,                0.60301,                0.63775,                0.61927,                0.28312,                 3.9271,                 2.3941,                 2.6872,               0.006304,               0.006304,               0.006304
                     58,                 3.3487,                 1.9622,                 2.3073,                0.62561,                0.62734,                 0.6159,                0.28355,                 3.8927,                 2.3873,                 2.6653,               0.006238,               0.006238,               0.006238
                     59,                 3.3483,                 1.9379,                 2.3157,                0.58418,                0.64382,                0.61523,                0.28339,                 3.9076,                 2.3893,                 2.6627,               0.006172,               0.006172,               0.006172
                     60,                 3.3691,                 1.9098,                 2.3144,                0.59616,                0.64227,                 0.6034,                0.27884,                 3.9156,                 2.3872,                 2.6912,               0.006106,               0.006106,               0.006106
                     61,                 3.3426,                 1.9353,                 2.3299,                0.57231,                0.65203,                0.61635,                0.28364,                 3.9008,                 2.3779,                 2.6729,                0.00604,                0.00604,                0.00604
                     62,                 3.3218,                 1.9361,                 2.3083,                0.60392,                0.61623,                0.59889,                0.28168,                 3.9131,                 2.3832,                 2.6787,               0.005974,               0.005974,               0.005974
                     63,                 3.3018,                 1.9326,                 2.3048,                0.61419,                0.60384,                0.60404,                0.27839,                 3.9665,                 2.3846,                 2.7651,               0.005908,               0.005908,               0.005908
                     64,                 3.3073,                 1.8843,                 2.2877,                0.58589,                0.63225,                0.60388,                0.27408,                 3.9344,                 2.3859,                 2.6925,               0.005842,               0.005842,               0.005842
                     65,                 3.3136,                 1.9075,                 2.2946,                0.55972,                0.63259,                0.59504,                0.27008,                 3.9911,                 2.4276,                 2.7565,               0.005776,               0.005776,               0.005776
                     66,                 3.2849,                 1.8643,                 2.2866,                0.61173,                0.61703,                0.61876,                0.27853,                  3.897,                 2.4576,                 2.6821,                0.00571,                0.00571,                0.00571
                     67,                 3.3062,                 1.8727,                 2.3273,                0.57855,                0.65283,                0.60452,                0.28337,                  3.945,                 2.3842,                 2.7157,               0.005644,               0.005644,               0.005644
                     68,                 3.2452,                 1.8178,                 2.2586,                0.62161,                0.62648,                0.62427,                0.28546,                 3.9877,                 2.3516,                 2.7718,               0.005578,               0.005578,               0.005578
                     69,                 3.2894,                 1.8274,                 2.2689,                 0.5986,                0.65925,                0.63621,                0.29071,                 3.9712,                 2.3263,                 2.7343,               0.005512,               0.005512,               0.005512
                     70,                 3.2919,                 1.8234,                 2.2902,                0.60402,                0.65093,                0.62341,                0.27819,                 3.9979,                 2.3741,                 2.7589,               0.005446,               0.005446,               0.005446
                     71,                 3.2099,                 1.8006,                 2.2758,                0.58485,                0.65372,                0.61962,                 0.2778,                 3.9724,                 2.3687,                 2.7147,                0.00538,                0.00538,                0.00538
                     72,                  3.205,                   1.79,                 2.2677,                0.58784,                0.61497,                0.59013,                0.27462,                 3.9217,                 2.3844,                  2.759,               0.005314,               0.005314,               0.005314
                     73,                 3.2405,                 1.7706,                 2.2665,                0.61479,                 0.6342,                 0.6218,                0.28228,                 3.9417,                 2.3624,                 2.7547,               0.005248,               0.005248,               0.005248
                     74,                 3.2782,                 1.8018,                 2.2555,                0.62751,                0.61841,                0.61459,                0.28386,                 3.9053,                 2.3803,                 2.7305,               0.005182,               0.005182,               0.005182
                     75,                 3.2119,                 1.8024,                 2.2767,                0.59456,                0.63035,                 0.6118,                0.27633,                 3.9681,                 2.3678,                 2.7426,               0.005116,               0.005116,               0.005116
                     76,                 3.1305,                 1.7492,                 2.2743,                0.65823,                0.63492,                0.62624,                0.28766,                 3.9151,                 2.3345,                 2.7139,                0.00505,                0.00505,                0.00505
